"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U1";"DIP-16_W7.62mm_Socket";1;"ULN2003A";;;
2;"R8,R7,R6,R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"100k";;;
3;"R4,R2,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"1.5k";;;
4;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1,5k";;;
5;"J4";"PinHeader_1x05_P2.54mm_Vertical";1;"FROM_MCU";;;
6;"J3";"JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical";1;"TO_MOTOR";;;
7;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"5V_IN";;;
8;"J1";"BarrelJack_GCT_DCJ200-10-A_Horizontal";1;"5V_ADAPTER";;;
9;"D2,D1";"D_DO-201AD_P15.24mm_Horizontal";2;"Schottky";;;
10;"C2";"CP_Radial_D10.0mm_P5.00mm";1;"470uF";;;
11;"C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.1uF";;;
