"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"F1";"FUSRR508W60L835T400H810";1;"0697H9100-01";;;
2;"J2";"CUI_TB002-500-02BE";1;"12V_IN";;;
3;"J1";"CUI_TB002-500-02BE";1;"12V_OUT";;;
4;"Q1";"TO-220-3_Vertical";1;"IRF4905";;;
5;"R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"220R";;;
6;"R3,R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"1k";;;
7;"C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"22uF";;;
8;"C1";"CP_Radial_D10.0mm_P5.00mm";1;"470uF";;;
9;"R1,R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"100k";;;
10;"D1";"LED_D3.0mm";1;"RED";;;
11;"D3";"D_DO-201AE_P15.24mm_Horizontal";1;"TVS";;;
12;"D2";"LED_D3.0mm";1;"GREEN";;;
